2025-06-10 01:18:48.684 | DEBUG    | concierge.core.services.terminal.pty_manager | read_from_pty        | L263  | Creating reader task for session terminal-main-session
2025-06-10 01:18:48.684 | DEBUG    | concierge.core.services.terminal.pty_manager | read_from_pty        | L266  | Reader task created: <Task pending name='Task-53' coro=<PTYManager.read_from_pty.<locals>.reader() running at /data/openpilot/openpilot/selfdrive/chauffeur/concierge/core/services/terminal/pty_manager.py:213>>
2025-06-10 01:18:48.686 | DEBUG    | concierge.core.services.terminal.pty_manager | reader               | L214  | Reader task started for session terminal-main-session
2025-06-10 01:18:48.687 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 2 bytes from PTY (read #1)
2025-06-10 01:18:52.865 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 4 bytes from PTY (read #2)
2025-06-10 01:18:54.148 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 4 bytes from PTY (read #3)
2025-06-10 01:18:54.468 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 4 bytes from PTY (read #4)
2025-06-10 01:18:57.280 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 38 bytes from PTY (read #5)
2025-06-10 01:19:04.727 | INFO     | concierge.core.services.terminal.pty_manager | create_pty           | L46   | === CREATE PTY ===
2025-06-10 01:19:04.728 | DEBUG    | concierge.core.services.terminal.pty_manager | create_pty           | L47   | Session ID: terminal-main-session
2025-06-10 01:19:04.728 | DEBUG    | concierge.core.services.terminal.pty_manager | create_pty           | L48   | Shell: /bin/sh, Rows: 42, Cols: 194
2025-06-10 01:19:04.728 | DEBUG    | concierge.core.services.terminal.pty_manager | create_pty           | L49   | CWD: None
2025-06-10 01:19:04.728 | DEBUG    | concierge.core.services.terminal.pty_manager | create_pty           | L52   | Validating session ID...
2025-06-10 01:19:04.730 | INFO     | concierge.core.services.terminal.pty_manager | create_pty           | L144  | Created PTY process 22875 for session terminal-main-session
