2025-06-10 18:28:04.501 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 18:28:04.501 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 18:39:51.222 | DEBUG    | concierge.core.security.terminal_security | setup_logging        | L76   | Logger initialized for module: core.security.terminal_security
2025-06-10 18:39:51.244 | DEBUG    | concierge.core.security.terminal_security | setup_logging        | L77   | Log file: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/logs/concierge_core_security_terminal_security_20250610.log
2025-06-10 18:39:51.244 | DEBUG    | concierge.core.security.terminal_security | setup_logging        | L78   | Debug mode: True
2025-06-10 18:39:51.510 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 18:39:51.511 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 18:39:51.519 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 18:39:51.519 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 18:39:55.110 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 18:39:55.110 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 18:39:55.112 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 18:39:55.113 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 18:39:59.523 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 18:39:59.523 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 18:39:59.525 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
